Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item	Price / International,Compare At Price / International,Status
black-berry,Black Berry,,ZeroSaree,,,,true,Color,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,active
black-berry,,,,,,,,,1,,,,,BLACKBERRY,,,100,continue,manual,1300,1900,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/1%20(5)%20(1).jpeg,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/1%20(5)%20(1).jpeg,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/1%20(6).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/1%20(7).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,2,,,,,BLACKBERRY,,,100,continue,manual,1300,1900,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(1).jpeg,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(1).jpeg,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(1).webp,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(2).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(2).webp,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(3).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(3).webp,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(4).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(4).webp,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(5).webp,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/2%20(6).webp,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,3,,,,,BLACKBERRY,,,100,continue,manual,1300,1900,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/3%20(1).jpeg,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/3%20(1).jpeg,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/3%20(2).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-berry,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/namankheterpal/temp/main/SHOPDROP/BLACK%20BERRY=500/3%20(3).jpeg,,,,,,,,,,,,,,,,,,,,,,,,
black-bindi,Black Bindi,,ZeroSaree,,,,true,Color,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,active
